Name,Description,Years lived,Name,Description,Years lived,Name,Description,Years lived
Georges V. Matchabelli,"Georgian-American businessman, created Prince Matchabelli perfume",50,Salvador de Madariaga,Spanish historian and diplomat,92,Walter H. Schottky,Swiss-German physicist and engineer,90
Haile Selassie,Ethiopian emperor,83,Arthur Treacher,English-American actor and singer,81,Aileen Pringle,American actress,94
Red Dutton,Canadian ice hockey player and coach,89,Herman Kruusenberg,Estonian wrestler,72,Jacob Marschak,"Ukrainian-American economist, journalist, and author",79
Gustav Heinemann,"German lawyer and politician, 3rd President of West Germany",77,John Babcock,Canadian-American sergeant,110,Hank Worden,American actor and singer,91
Vladimir Prelog,"Croatian-Swiss chemist and academic, Nobel Prize laureate",92,Chandra Shekhar Azad,Indian activist,25,John William Finn,"American lieutenant, Medal of Honor recipient",101
Michael Wilding,English actor,67,Michael Foot,"English journalist and politician, Secretary of State for Employment",97,Nassos Daphnis,Greek-American painte,1914 -
Elly Annie Schneider,German-American actress,90,Laurel Martyn,Australian ballerina and choreographer,97,Abraham Bueno de Mesquita,Dutch comedian and actor,87
Pee Wee Reese,American baseball player and sportscaster,81,Amália Rodrigues,Portuguese singer and actress,79,Calvert DeForest,American actor,86
Luis Aloma,Cuban-American baseball player,74,Morris Halle,Latvian-American linguist an,1923 -,Amalia Mendoza,Mexican singer and actress,78
Gazanfer Bilge,Turkish wrestler,84,Tajuddin Ahmad,"Bangladeshi politician, 1st Prime Minister of Bangladesh",50,Quett Masire,"Botswana politician, the former Vice-President o",1925 -
Gloria DeHaven,American actress an,1925 -,Ludvík Vaculík,Czech journalist and author,89,Gérard Brach,French director and screenwriter,79
Vera Rubin,American astronomer an,1928 -,Hubert Selby,"Jr., American author and screenwriter",76,Danny Barcelona,American drummer,78
Te Atairangikaahu,Māori queen,75,Claude Fournier,"Canadian director, screenwriter, an",1931 -,Guy Fournier,Canadian author an,1931 -
Bert Convy,"American actor, singer, and game show host",58,Benedict Groeschel,"American priest, psychologist, and talk show host",81,Richard Rogers,"Italian-English architect, designed the Millennium Dome and Lloyd'",1933 -
Don Drysdale,American baseball player and sportscaster,57,Anthony Kennedy,American lawyer an,1936 -,Bruce Surtees,American cinematographer,75
Juliet Anderson,American porn actress and producer,72,Ronny Cox,"American singer-songwriter, guitarist, an",1938 -,Mickey Curtis,Japanese actor an,1938 -
Charles Harrelson,American murderer,69,Bert Newton,Australian actor and televisio,1938 -,Don Imus,American radi,1940 -
Christopher Andrew,English historian an,1941 -,Richie Evans,American race car driver,44,Sergio Mattarella,"Italian lawyer, judge, and politician, 12th President o",1941 -
Madeline Bell,American singer-songwriter (Blu,1942 -,Richard E. Dauch,"American businessman, co-founded American Axle",71,Dimitris Liantinis,Greek philosopher and author,56
Larry Manetti,American actor an,1943 -,Tony Joe White,American singer-songwriter an,1943 -,Dino Danelli,American drummer (The Rascals an,1944 -
Edward Gregson,English composer an,1945 -,Jon Sammels,Englis,1945 -,Andy Mackay,English oboe player and composer (Rox,1946 -
Gardner Dozois,American journalist an,1947 -,David Essex,"English singer-songwriter, an",1947 -,Torsten Palm,Swedish race ca,1947 -
Ross Cranston,"Australian-English lawyer, judge, and politician, Solicitor General for England an",1948 -,John Cushnahan,Irish educator an,1948 -,John Hall,"American pianist, songwriter, an",1948 -
Clive Rice,South African cricketer and coach,66,Alex Kozinski,Romanian-American lawyer an,1950 -,Ian Thomas,"Canadian singer-songwriter, guitarist, an",1950 -
Alan Turner,Australia,1950 -,Edie McClurg,American actress an,1951 -,Michael McConnohie,American voice actor an,1951 -
Paul Hibbert,Australian cricketer and coach,56,Bill Nyrop,American ice hockey player and coach,43,John Rutsey,Canadian drummer (Rush),56
Claude Barzotti,Belgian-Italia,1953 -,Graham Gooch,English cricketer an,1953 -,Bob Hilton,American game show host an,1953 -
Annie Sprinkle,American porn actress an,1954 -,Jo Brand,"English comedian, actress, an",1957 -,Kate Buffery,Englis,1957 -
Theo van Gogh,"Dutch actor, director, producer, and screenwriter",47,Tomy Winata,"Indonesian businessman and philanthropist, founded the Artha Graha Pedul",1958 -,Nancy Savoca,"American director, producer, an",1959 -
Al Perez,America,1960 -,André Ducharme,Canadian comedian an,1961 -,Michael Durant,American pilot an,1961 -
Woody Harrelson,"American actor, activist, an",1961 -,Eriq La Salle,"American actor, director, an",1962 -,Alain Lefèvre,Canadian pianist an,1962 -
Uwe Barth,Germa,1964 -,Nick Menza,German drummer and songwriter (Megadeth an,1964 -,Slash,"English-American guitarist, songwriter, and producer (Guns N' Roses, Velvet Revolver, Hollywood Rose, and Roa",1965 -
Dick Jaspers,Dutch billiard,1965 -,Samantha Beckinsale,Englis,1966 -,Hamid Mir,Pakistan,1966 -
Philip Seymour Hoffman,"American actor, director, and producer",47,Elden Campbell,American basketbal,1968 -,Gary Payton,American basketball player an,1968 -
Andrew Cassels,Canadian ice hockey player an,1969 -,David Kaufman,America,1969 -,Charisma Carpenter,America,1970 -
Povilas Vanagas,Lithuanian ic,1970 -,Sam Watters,American singer-songwriter and producer (Color M,1970 -,Dalvin DeGrate,American rapper and produce,1971 -
Christopher Lee,"Malaysian actor, host an",1971 -,Chris Michalek,American harmonica player,39,Joel Stein,America,1971 -
Suat Kılıç,"Turkish journalist, lawyer, and politician, Turkish Minister of Youth an",1972 -,Floyd Reifer,Barbadian cricketer an,1972 -,Marlon Wayans,"American actor, director, producer, an",1972 -
Fran Healy,English-Scottish singer-songwriter and guitaris,1973 -,Monica Lewinsky,American author and handba,1973 -,Himesh Reshammiya,"Indian singer-songwriter, producer, actor, an",1973 -
Terry Glenn,American football player an,1974 -,Maurice Greene,America,1974 -,Kathryn Hahn,American actress an,1974 -
Sonny Siaki,Samoan-America,1974 -,Rik Verbrugghe,Belgia,1974 -,Suriya,Indian actor an,1975 -
Dan Rogerson,Englis,1975 -,Judit Polgár,Hungarian ches,1976 -,Scott Clemmensen,American ice hockey player an,1977 -
Shawn Thornton,Canadian ice hocke,1977 -,Stuart Elliott,Northern Iris,1978 -,Marianela González,Venezuela,1978 -
Lauren Groff,American novelist and short stor,1978 -,Perro Aguayo Jr.,Mexican wrestler and promoter,36,Mehmet Akif Alakurt,Turkish actor an,1979 -
Anta Livitsanou,Greek actress an,1979 -,Richard Sims,Zimbabwea,1979 -,Ricardo Sperafico,Brazilian race ca,1979 -
Sandeep Parikh,"American actor, director, producer, an",1980 -,Michelle Williams,"American singer-songwriter, producer, and actress (Destiny'",1980 -,Steve Jocz,"Canadian singer-songwriter, drummer, and director (Su",1981 -
Aleksandr Kulik,Estonia,1981 -,Jarkko Nieminen,Finnish tenni,1981 -,Ömer Aysan Barış,Turkis,1982 -
Joe Mather,American basebal,1982 -,Tom Mison,Englis,1982 -,Gökhan Ünal,Turkis,1982 -
Paul Wesley,"American actor, director, an",1982 -,Andrew Eiden,America,1983 -,Bec Hewitt,Australian actress an,1983 -
David Strettle,English rugb,1983 -,Walter Gargano,Uruguaya,1984 -,Matthew Murphy,English singer and guitarist (Th,1984 -
Celeste Thorson,"American actress, producer, an",1984 -,Luis Ángel Landín,Mexica,1985 -,Anna Maria Mühe,Germa,1985 -
Nelson Philippe,French race ca,1986 -,Reece Ritchie,Englis,1986 -,Yelena Sokolova,Russian lon,1986 -
Felipe Dylon,Brazilia,1987 -,Serdar Kurtuluş,Turkis,1987 -,Arthur Napiontek,America,1987 -
Pablo Holman,Chilean singer-songwriter and guitaris,1988 -,Ping Medina,Filipin,1988 -,Eliška Bučková,"Czech model, Czech Mis",1989 -
Donald Young,American tenni,1989 -,Ryan Castro,America,1990 -,Young JV,"Filipino actor, singer, an",1990 -
Bibi Jones,American por,1991 -,Lauren Mitchell,Australia,1991 -,Jarrod Wallace,Australian rugby leagu,1991 -
Rachel G. Fox,American actress an,1996 -,Lil' P-Nut,American rapper an,2002 -,Emperor Suzaku of Japan,,29
Charles II,Margrave of Baden-Durlach,48,Maria of the Palatinate-Simmern,,28,Thomas Platter the Younger,Swiss physician and author,54
John Newton,English sailor and priest,82,Vladimir Borovikovsky,Ukrainian-Russian painter,68,Simón Bolívar,"Venezuelan commander and politician, 2nd President of Venezuela",47
Johan Georg Forchhammer,Danish mineralogist and geologist,71,Alexandre Dumas,French novelist and playwright,68,Adolphe Adam,French composer and critic,53
Jan Gotlib Bloch,Polish theorist and activist,76,Friedrich Schottky,Polish-German mathematician and theorist,84,William Gillette,American actor and author,84
Henrik Pontoppidan,"Danish journalist and author, Nobel Prize laureate",86,Juan Vicente Gómez,"Venezuelan general and politician, 27th President of Venezuela",78,Princess Charlotte of Prussia,,59
Frank Wedekind,German actor and playwright,54,Vicente Acosta,Salvadoran journalist and poet,41,E. F. Benson,English archaeologist and author,73
Oswald Chambers,Scottish minister and author,43,Calogero Vizzini,Italian mob boss,77,Edward Plunkett,"18th Baron of Dunsany, Irish author, poet, and playwright",79
Maria Caserini,Italian actress,85,Jun'ichirō Tanizaki,Japanese author,79,Arthur Richardson,Australian cricketer and coach,85
Amelia Earhart,American pilot and author,40,Chief Dan George,Canadian actor,82,Bernice Madigan,American super-centenarian,116
Leo Arnaud,"French-American trombonist, composer, and conductor",87,Richard B. Morris,American historian and academic,85,Harry Horner,American director and production designer,84
Britton Chance,American biologist and sailor,97,Frances Oldham Kelsey,Canadian pharmacologist and physician,101,Ed Mirvish,American-Canadian businessman and philanthropist,93
Bob Eberly,American singer,65,John D. MacDonald,American colonel and author,70,Robert Farnon,"Canadian trumpet player, composer, and conductor",88
Robert Marsden Hope,Australian lawyer and judge,80,John Winkin,"American baseball player, coach, and journalist",95,Bella Abzug,American lawyer and politician,78
Giuseppe Di Stefano,Italian tenor and actor,87,Billy Taylor,American pianist and composer,89,Madeleine Ferron,Canadian radio host and author,88
Aris Poulianos,Greek anthropologist an,1924 -,Alex Katz,American painter an,1927 -,Zara Mints,Russian-Estonian philologist and academic,63
Keshubhai Patel,"Indian politician, 10th Chief Minister o",1930 -,Ermanno Olmi,"Italian director, screenwriter, an",1931 -,Éric Tabarly,French commander,67
Sante Kimes,American murderer,80,P. S. Soosaithasan,Sri Lankan accountant an,1934 -,Aaron Elkins,American author an,1935 -
Mel Ramos,"American painter, illustrator, an",1935 -,Les Reed,"English pianist, composer, an",1935 -,Derek Varnals,South Africa,1935 -
Albert Marrin,American historian an,1936 -,Manoj Kumar,"Indian actor, director, producer, an",1937 -,Quinlan Terry,"English architect, designed the Brentwoo",1937 -
Eugene J. Martin,America,1938 -,John Sparling,New Zealan,1938 -,Walt Bellamy,American basketball player and coach,74
Dan Hedaya,America,1940 -,John Bond,English banker an,1941 -,Heinz,German-English singer-songwriter and bass player (The Tornados),58
Chris Sarandon,America,1942 -,Jim Armstrong,Iris,1944 -,Frank Close,English physicist an,1945 -
Azim Premji,Indian businessman an,1945 -,Hugh Ross,Canadian-American astrophysicist an,1945 -,Anthony Watts,"English geologist, geophysicist, an",1945 -
Friedhelm Haebermann,German footballer an,1946 -,Hervé Vilard,Frenc,1946 -,Zaheer Abbas,Pakistani cricketer an,1947 -
Peter Serkin,American pianist an,1947 -,Michael Coveney,English author an,1948 -,Michael Richards,American actor an,1949 -
Lynda Carter,America,1951 -,Chris Smith,"Baron Smith of Finsbury, English politician, Secretary of State for Culture, Media an",1951 -,Gus Van Sant,"American director, producer, an",1952 -
Jon Faddis,"American trumpet player, composer, an",1953 -,Claire McCaskill,American lawyer an,1953 -,James Newcome,Englis,1953 -
Günter Böttcher,German handball player,58,Brad Watson,American author an,1955 -,Charlie Crist,"American lawyer and politician, 44th Governor o",1956 -
Pam Tillis,"American singer-songwriter, guitarist, an",1957 -,Joe Barry Carroll,American basketball player an,1958 -,Mick Karn,"Cypriot-English guitarist and songwriter (Japan, Dalis Car, NiNa, and JBK)",53
Catherine Destivelle,French rock climber an,1960 -,Kerry Dixon,English footballer an,1961 -,Paul Geary,"American singer, drummer, and manage",1961 -
Karl Malone,American basketball player an,1963 -,Barry Bonds,American basebal,1964 -,Pedro Passos Coelho,"Portuguese economist and politician, 118th Prime Minister o",1964 -
John Rosengren,American journalist an,1964 -,Banana Yoshimoto,Japanes,1964 -,Andrew Gaze,Australian basketball player an,1965 -
Doug Liman,American director an,1965 -,Mo-Do,Italian singer-songwriter,47,Martin Keown,English footballer an,1966 -
Colleen Doran,American author an,1968 -,Malcolm Ingram,"Canadian director, producer, an",1968 -,Rick Fox,Bahamian basketball player an,1969 -
Amanda Stretton,English race car driver an,1973 -,Tracey Crouch,"English politician, Minister for Sport and th",1975 -,Dafydd James,Zambian-Welsh rugb,1975 -
Eric Szmanda,America,1975 -,Torrie Wilson,American wrestler an,1975 -,Rafer Alston,American basketbal,1976 -
Tiago Monteiro,Portuguese race car driver an,1976 -,Andy Irons,American surfer,32,Joanna Taylor,English model an,1978 -
Alexis Mateo,Puerto Rican drag quee,1979 -,Jerrod Niemann,American singer-songwriter an,1979 -,Stat Quo,American rapper an,1979 -
Anne-Gaëlle Sidot,French tenni,1979 -,Mark Andrew Smith,America,1979 -,Ryan Speier,American basebal,1979 -
Doug Bollinger,Australia,1981 -,Mark Robinson,Englis,1981 -,Chris Barrett,"American director, producer, an",1982 -
Thiago Medeiros,Brazilian race ca,1982 -,Mewelde Moore,American footbal,1982 -,Elisabeth Moss,America,1982 -
Michael Poppmeier,South African-German rugb,1982 -,Daniele De Rossi,Italia,1983 -,Patrick Harvey,Australia,1984 -
Dhani Lennevald,Swedish singer and dance,1984 -,Adam Nelson,Scottis,1984 -,Joris Putman,Dutc,1984 -
Aries Merritt,America,1985 -,Teagan Presley,American por,1985 -,Lukáš Rosol,Czech tenni,1985 -
Vugar Gashimov,Azerbaijani chess player,28,Andrei Lutai,Russian figur,1986 -,Megan Park,Canadian actress an,1986 -
Natalie Tran,Australia,1986 -,Jovan Belcher,American football player,25,Filipe Francisco dos Santos,Brazilia,1987 -
Zack Sabre,"Jr., Englis",1987 -,Merve Sevi,Turkis,1987 -,Mara Wilson,American actress an,1987 -
Han Seung-yeon,"South Korean singer, dancer, and actres",1988 -,Maurkice Pouncey,American footbal,1989 -,Kim Tae-hwan,South Korea,1989 -
Travis Mahoney,Australia,1990 -,Jay McGuiness,English singer (Th,1990 -,Dean Stoneman,English race ca,1990 -
Dmitry Abyzov,Russia,1992 -,Mitch Grassi,American singer-songwrite,1992 -,Mikaël Kingsbury,Canadia,1992 -
Casimir I the Restorer,Polish son of Mieszko II Lambert,42,Ibn Arabi,"Andalusian Sufi mystic, poet, and philosopher",75,Arthur II,Duke of Brittany,51
Albert I,Duke of Bavaria,68,Philip I,Duke of Brabant,26,Henry Percy,"3rd Earl of Northumberland, English politician",40
Agostino Steffani,Italian composer and diplomat,74,Philipp Heinrich Erlebach,German composer,57,Archibald Campbell,"1st Duke of Argyll, Scottish general",45
Henry Knox,"American general and politician, 1st United States Secretary of War",56,Santiago de Liniers,"1st Count of Buenos Aires, French-Spanish captain and politician, 10th Viceroy of the Viceroyalty of the Río de la Plata",57,Princess Augusta of Hesse-Kassel,,92
Thomas Eakins,"American painter, sculptor, and photographer",72,Paul Langerhans,"German pathologist, physiologist and biologist",41,Arthur Balfour,"Scottish-English lieutenant and politician, 33rd Prime Minister of the United Kingdom",82
Jac. P. Thijsse,Dutch botanist and conservationist,80,Frederick Blackman,English physiologist and academic,81,Max Dauthendey,German author and painter,51
Platon,Estonian bishop and saint,50,Maxfield Parrish,American painter and illustrator,96,Jim Corbett,"Indian hunter, environmentalist, and author",80
George S. Rentz,American commander,60,Alfredo Casella,"Italian pianist, composer, and conductor",64,Edward Cummins,American golfer,40
Hans von Blixen-Finecke,Swedish horse rider (b,1886 -,Walter Brennan,American actor and singer,80,Gavrilo Princip,Bosnian assassin of Archduke Franz Ferdinand of Austria,24
Ingeborg Spangsfeldt,Danish actress,73,Jack Perrin,American actor and stuntman,71,Josephine Tey,Scottish author and playwright,56
Lila Lee,American actress and singer,72,Eric Hoffer,American philosopher and author,81,Elias Canetti,"Bulgarian-Swiss author and playwright, Nobel Prize laureate",89
Denys Watkins-Pitchford,English author and illustrator,85,Johnny Hodges,American saxophonist and clarinet player,64,Bill Bowes,English cricketer,79
Jack Gilford,American actor and singer,82,Semmangudi Srinivasa Iyer,Indian singer,95,Woody Strode,American football player and actor,80
Joseph P. Kennedy,"Jr., American lieutenant and pilot",29,Lucien Saulnier,Canadian lawyer and politician,73,Fritz Honegger,Swiss lawyer and politician,82
Rosalind Franklin,"English biophysicist, chemist, and academic",38,Adolph Herseth,American soldier and trumpet player (Chicago Symphony Orchestra),92,Lionel Terray,French mountaineer,44
Edgar Gilbert,American mathematician and theorist,90,Maria Gripe,Swedish journalist and author,84,Frank Church,American lawyer and politician,60
Benny Benjamin,American drummer (The Funk Brothers),44,Jerry Paris,"American actor, director, and producer",61,Jutta Zilliacus,Finnish journalist an,1925 -
Bernard Thompson,British television producer and director,72,Daniel Ceccaldi,"French actor, director, and screenwriter",76,Midge Decter,American journalist an,1927 -
Jean-Marie Seroney,Kenyan activist and politician,55,Dolphy,"Filipino actor, singer, and producer",84,Mario Montenegro,Filipino actor,60
Judd Buchanan,"Canadian businessman and politician, 36th Canadian Minister of Publi",1929 -,Somnath Chatterjee,"Indian lawyer and politician, 14th Speaker of the Lo",1929 -,Eddie Mazur,Canadian ice hockey player,66
Maureen Forrester,Canadian actress and singer,80,Alice Parizeau,Polish-Canadian journalist and criminologist,60,Herbert Scarf,American economist and academic,85
James Butler,English sculptor an,1931 -,Paul J. Weitz,"American captain, pilot, an",1932 -,Ken Swofford,America,1933 -
Claude Zidi,French director an,1934 -,Barbara Harris,American actress an,1935 -,Adnan Khashoggi,Saudi Arabia,1935 -
John Robinson,American football player an,1935 -,Larry Sherry,American baseball player and coach,71,Lars Werner,Swedish lawyer and politician,78
Glenn Murcutt,English-Australian architect an,1936 -,August Schellenberg,Canadian-American actor,77,Colin Renfrew,"Baron Renfrew of Kaimsthorn, English archeologist an",1937 -
Manny Charlton,Spanish-Scottish guitarist (Nazareth and Manny Charlto,1941 -,Billy Hardwick,American bowler,72,Raúl Ruiz,"Chilean-French director, producer, and screenwriter",70
Donna Theodore,American actress an,1941 -,Nate Thurmond,American basketball player an,1941 -,Emmett Till,American murder victim,14
Jim McCarty,"English singer and drummer (The Yardbirds, Renaissance, an",1943 -,Erika Steinbach,Polish-Germa,1943 -,Sally Beauman,English journalist an,1944 -
Nicole Farhi,French fashion designer an,1946 -,John Gibson,American radi,1946 -,Rita Marley,Cuban-Jamaican singer (Bob Marley and the Wailers and,1946 -
Steve Goodman,American singer-songwriter and guitarist,36,Mark Clarke,"English singer-songwriter and bass player (Colosseum, Mountain, Natural Gas, and Uria",1950 -,Jack Thompson,American lawyer an,1951 -
Eduardo Souto de Moura,"Portuguese architect, designed the Estádio Municipal d",1952 -,Huang Wenyong,Malaysian-Singaporean actor,61,Robert Zoellick,"American banker and politician, 14th United States Deputy Secretary o",1953 -
Ken Greer,"Canadian guitarist, keyboard player, and producer (Re",1954 -,Sheena McDonald,Scottis,1954 -,Walter Payton,American football player and race car driver,45
Iman,Somalian-English model an,1955 -,Randall Bewley,American guitarist and songwriter (Pylon and Supercluster),54,Kike Elomaa,"Finnish bodybuilder, singer, an",1955 -
Andy Goldsworthy,English-Scottish sculptor an,1956 -,Mark Hunter,Englis,1957 -,Steve Podborski,Canadia,1957 -
Thurston Moore,"American singer-songwriter, guitarist, and producer (Sonic Youth, Ciccone Youth, The Coachmen, and Di",1958 -,Fyodor Cherenkov,Russian footballer and manager,55,Anatoly Onoprienko,Ukrainian murderer,54
Alain Robidoux,Canadian snooke,1960 -,Justice Howard,America,1960 -,Māris Martinsons,"Latvian film director, producer, screenwriter, and fil",1960 -
Katherine Kelly Lang,America,1961 -,Hugo Teufel III,American lawyer an,1961 -,Carin Bakkum,Dutch tenni,1962 -
Denis Coderre,"Canadian politician, 44th Mayor o",1963 -,Julian Hodgson,Welsh ches,1963 -,Anne Applebaum,American journalist an,1964 -
Breuk Iversen,American designer an,1964 -,Reiko Takashima,Japanes,1964 -,Marty Brown,American singer-songwriter an,1965 -
Dale Shearer,Australian rugb,1965 -,Daryl Halligan,New Zealand rugby player an,1966 -,Maureen Herman,American bass player (Babes i,1966 -
Lynda Lemay,Canadia,1966 -,Christine Quinn,America,1966 -,Matt LeBlanc,American actor an,1967 -
Wendy Raquel Robinson,America,1967 -,Tommy Skjerven,Norwegian footballer an,1967 -,Rudi Bryson,South Africa,1968 -
Jon Barry,American basketball player an,1969 -,Ernesto Alterio,Argentinian-Spanis,1970 -,Chloë Annett,Englis,1971 -
Tracy Murray,American basketbal,1971 -,Miriam Shor,America,1971 -,Billy Wagner,American baseball player an,1971 -
David Denman,America,1973 -,Dani Filth,English singer-songwriter and actor (Cradle o,1973 -,Hu Jia,Chines,1973 -
Kevin Phillips,Englis,1973 -,Michael C. Williams,America,1973 -,Lauren Faust,"American animator, producer, an",1974 -
Julia Laffranque,Estonian lawyer an,1974 -,Kenzo Suzuki,Japanese rugby player an,1974 -,Jody Craddock,English footballer an,1975 -
Brian Gibson,American bass player (Lightnin,1975 -,El Zorro,Mexica,1975 -,Tera Patrick,American por,1976 -
Javier Vázquez,Puerto Rican basebal,1976 -,Ahmad Batebi,Irania,1977 -,Kenny Thomas,American basketbal,1977 -
Gerard Warren,American footbal,1978 -,Amy Adams,America,1979 -,Ali Carter,English snooke,1979 -
Stefanie Hertel,Germa,1979 -,Tom Lungley,English cricketer an,1979 -,Soo Ae,South Korea,1980 -
Shawn Riggans,American basebal,1980 -,Samuel Sheinbein,American-Israeli murderer,34,Toni Vilander,Finnish race ca,1980 -
Scott Waldrom,New Zealand rugb,1980 -,Conor Casey,American socce,1981 -,Constantinos Charalambidis,Cyprio,1981 -
Mac Lethal,American rapper an,1981 -,Jani Rita,Finnish ice hocke,1981 -,Jason Dundas,Australian-American television host an,1982 -
Monde Zondeki,South Africa,1982 -,Richie Chance,American actor an,1983 -,Kauri Kõiv,Estonia,1983 -
Lauriane Gilliéron,"Swiss model, Miss Switzerlan",1984 -,Loukas Mavrokefalidis,Greek basketbal,1984 -,James Lafferty,American actor an,1985 -
Hugo Rodallega,Colombia,1985 -,Shantel VanSanten,American actress an,1985 -,Hulk,Brazilia,1986 -
Barbara Meier,German model an,1986 -,Ahtyba Rubin,American footbal,1986 -,Alan Dawa Dolma,Tibet born Chines,1987 -
Mitchell Burgzorg,Dutch footballer an,1987 -,Michael Welch,America,1987 -,Paulinho,Brazilia,1988 -
Tom Hiariej,Dutc,1988 -,Sarah Geronimo,"Filipino singer-songwriter, dancer, an",1988 -,Heather Marks,Canadian model an,1988 -
Stacey Kemp,Englis,1988 -,Andrew Caldwell,America,1989 -,Noel Callahan,Canadia,1989 -
Andi Eigenmann,Filipin,1990 -,Toni Duggan,Englis,1991 -,Sergei Simonov,Russian ice hockey player,24
Pierce Gagnon,America,2005 -,Stanislaus of Szczepanów,Polish bishop and saint,49,Murad IV,Ottoman sultan,28
Lorenz Christoph Mizler,"German physician, mathematician, and historian",67,George Clinton,"American general and politician, 4th Vice President of the United States",73,John Field,Irish pianist and composer,55
George Catlin,"American painter, author, and traveler",76,Mariano Arista,"Mexican general and politician, 42nd President of Mexico",53,Justin Holland,American guitarist and educator,68
Carl Robert Jakobson,Estonian journalist and politician,41,Alfred Marshall,English economist and academic,82,Stefan Drzewiecki,Ukrainian-Polish engineer and journalist,94
Philippe Gaucher,French dermatologist and academic,64,Ferdinand Tönnies,German sociologist and philosopher,81,George Bernard Shaw,"Irish playwright and critic, Nobel Prize laureate",94
Jāzeps Vītols,Latvian composer,85,Philipp Scheidemann,"German journalist and politician, 10th Chancellor of Germany",74,Rajanikanta Sen,Indian poet and composer,45
Carl Jung,Swiss psychiatrist and psychotherapist,86,Antonio Machado,Spanish poet and academic,64,Ernst Hoppenberg,German swimmer and water polo player,59
Volodymyr Vynnychenko,"Ukrainian playwright and politician, 1st Prime Minister of Ukrainian People's Republic",71,André Maurois,French soldier and author,82,Lars Hanson,Swedish actor,79
Daniel J. Callaghan,"American admiral, Medal of Honor recipient",52,Sad Sam Jones,American baseball player and manager,74,George Grosz,German painter and illustrator,66
Gracie Allen,American actress and singer,69,Jane Bunford,English giant,27,Tim Birkin,English soldier and race car driver,37
Paul Gallico,American journalist and author,79,Pat Walshe,American actor,91,Estes Kefauver,American lawyer and politician,60
Lucien Wercollier,Luxembourger sculptor,94,Peter Thorneycroft,"Baron Thorneycroft, English lawyer and politician, Chancellor of the Exchequer",85,Vivian Vance,American actress and singer,70
C. Farris Bryant,"American soldier, lawyer, and politician, 34th Governor of Florida",88,Erskine Hawkins,American trumpet player and bandleader,79,Ellis Kinder,American baseball player,54
Jaime Luiz Coelho,Brazilian archbishop,97,Herbert Norkus,German Hitler Youth member,16,Alberta Adams,American singer,97
Virginia Gilmore,American actress and singer,67,James Lovelock,English biologist an,1919 -,Bob Waterfield,American football player and coach,63
Jean Shepherd,"American radio host, actor, and screenwriter",78,Blake Edwards,"American director, producer, and screenwriter",88,Jim Foglesong,American record producer,91
Jan Berenstain,American author and illustrator,89,Biff Elliot,American actor,89,Hoyt Wilhelm,American baseball player and coach,79
Joseph Engelberger,American physicist and engineer,90,Ana María Matute,Spanish author and academic,89,James Best,"American actor, singer, director, and screenwriter",89
Don Beauman,English race car driver,27,Francesco Cossiga,"Italian academic and politician, 8th President of Italy",82,Elliott Erwitt,French-American photographer an,1928 -
Stanley Kubrick,"American director, producer, screenwriter, and cinematographer",71,Peter Lougheed,"Canadian lawyer and politician, 10th Premier of Alberta",84,Sally Oppenheim-Barnes,"Baroness Oppenheim-Barnes, Englis",1928 -
Marc Lalonde,"Canadian lawyer and politician, 34th Canadian Minister o",1929 -,Joe Jackson,"American talent manager, father of the Jackso",1929 -,Alexis Weissenberg,Bulgarian-French pianist and educator,83
Barbara Jefford,Englis,1930 -,Robert Colbert,America,1931 -,Takashi Ono,Japanes,1931 -
Lance Percival,"English actor, singer, and screenwriter",82,Igor Plechanov,Russian motorcycle racer,74,Yale Summers,American actor and producer,79
Tommy McDonald,American footbal,1934 -,Tsutomu Koyama,Japanese volleyball player and coach,76,Lawrie McMenemy,English footballer an,1936 -
Keith Peters,Welsh physician an,1938 -,Jun Henmi,Japanese author and poet,72,John Howard,"Australian lawyer and politician, 25th Prime Minister o",1939 -
Richard Marlow,English organist and conductor,74,Dobie Gray,American singer-songwriter and producer,71,Mary Jo Kopechne,American secretary and educator,29
Bobby Rousseau,Canadian ice hocke,1940 -,Tolis Voskopoulos,Greek singer-songwriter an,1940 -,Jean Baubérot,French historian an,1941 -
Darlene Love,American singer an,1941 -,Brenton Wood,America,1941 -,Vladimír Mečiar,"Slovak politician, 1st Prime Minister o",1942 -
Peter Hyams,"American director, screenwriter, an",1943 -,Mick Jagger,"English singer-songwriter, producer, and actor (The Rolling Stones an",1943 -,Kiel Martin,American actor,46
Suzanna Leigh,Englis,1945 -,Helen Mirren,English actress an,1945 -,Emilio de Villota,Spanish race ca,1946 -
Herbert Wiesinger,German figur,1948 -,Thaksin Shinawatra,"Thai businessman and politician, 23rd Prime Minister o",1949 -,Roger Taylor,"English singer-songwriter, drummer, and producer (Queen, The Cross, an",1949 -
Nicholas Evans,"English journalist, screenwriter, an",1950 -,Susan George,English actress an,1950 -,Anne Rafferty,English lawyer an,1950 -
Rick Martin,Canadian-American ice hockey player,60,Glynis Breakwell,English psychologist an,1952 -,Felix Magath,German footballer an,1953 -
Vitas Gerulaitis,American tennis player and coach,40,Aleksandrs Starkovs,Latvian footballer an,1955 -,Asif Ali Zardari,"Pakistani businessman and politician, 11th President o",1955 -
Dorothy Hamill,American figur,1956 -,Tommy Rich,America,1956 -,Tim Tremlett,English cricketer an,1956 -
